11 [DBG_PIN] t=245827 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
6592 [DBG_HP_SAMPLE] t=252408 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3419
6693 [DBG_HP_SAMPLE] t=252508 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3319
6793 [DBG_HP_SAMPLE] t=252608 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3219
6892 [DBG_HP_SAMPLE] t=252708 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3119
6993 [DBG_HP_SAMPLE] t=252808 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3019
7092 [DBG_HP_SAMPLE] t=252908 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2919
7193 [DBG_HP_SAMPLE] t=253008 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2819
7293 [DBG_HP_SAMPLE] t=253108 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2719
7392 [DBG_HP_SAMPLE] t=253208 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2619
7493 [DBG_HP_SAMPLE] t=253308 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2519
7593 [DBG_HP_SAMPLE] t=253408 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2419
7693 [DBG_HP_SAMPLE] t=253508 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2319
7793 [DBG_HP_SAMPLE] t=253608 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2219
7892 [DBG_HP_SAMPLE] t=253708 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2119
7993 [DBG_HP_SAMPLE] t=253808 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2019
8092 [DBG_HP_SAMPLE] t=253908 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1919
8193 [DBG_HP_SAMPLE] t=254008 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1819
8293 [DBG_HP_SAMPLE] t=254108 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1719
8392 [DBG_HP_SAMPLE] t=254208 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1619
8493 [DBG_HP_SAMPLE] t=254308 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1519
