9 [DBG_PIN] t=1141722 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
4673 [DBG_HP_SAMPLE] t=1146386 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5336
4772 [DBG_HP_SAMPLE] t=1146486 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5236
4873 [DBG_HP_SAMPLE] t=1146586 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5136
4972 [DBG_HP_SAMPLE] t=1146686 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=5036
5072 [DBG_HP_SAMPLE] t=1146786 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4936
5173 [DBG_HP_SAMPLE] t=1146886 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4836
5272 [DBG_HP_SAMPLE] t=1146986 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4736
5373 [DBG_HP_SAMPLE] t=1147086 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4636
5472 [DBG_HP_SAMPLE] t=1147186 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4536
5572 [DBG_HP_SAMPLE] t=1147286 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4436
5673 [DBG_HP_SAMPLE] t=1147386 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4336
5773 [DBG_HP_SAMPLE] t=1147486 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4236
5873 [DBG_HP_SAMPLE] t=1147586 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4136
5973 [DBG_HP_SAMPLE] t=1147686 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=4036
6072 [DBG_HP_SAMPLE] t=1147786 hpOutPin=0 hpOutAsserted=1 camState=4 logicActive=1 activityActive=1 msUntilWakeDeadline=3936
6173 [DBG_HP_SAMPLE] t=1147886 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3836
6272 [DBG_HP_SAMPLE] t=1147986 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3736
6373 [DBG_HP_SAMPLE] t=1148086 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3636
6472 [DBG_HP_SAMPLE] t=1148186 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3536
6572 [DBG_HP_SAMPLE] t=1148286 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3436
6673 [DBG_HP_SAMPLE] t=1148386 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3336
6772 [DBG_HP_SAMPLE] t=1148486 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3236
6873 [DBG_HP_SAMPLE] t=1148586 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3136
6972 [DBG_HP_SAMPLE] t=1148686 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=3036
7072 [DBG_HP_SAMPLE] t=1148786 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=2936
