13 [DBG_PIN] t=941742 sig=HP_OUT state=ACTIVE reason=assertHpOut camState=0 hpOutAsserted=1
8073 [DBG_HP_SAMPLE] t=949801 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1941
8172 [DBG_HP_SAMPLE] t=949901 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1841
8273 [DBG_HP_SAMPLE] t=950001 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1741
8373 [DBG_HP_SAMPLE] t=950101 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1641
8472 [DBG_HP_SAMPLE] t=950201 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1541
8573 [DBG_HP_SAMPLE] t=950301 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1441
8672 [DBG_HP_SAMPLE] t=950401 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1341
8773 [DBG_HP_SAMPLE] t=950501 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1241
8872 [DBG_HP_SAMPLE] t=950601 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1141
8972 [DBG_HP_SAMPLE] t=950701 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=1041
9073 [DBG_HP_SAMPLE] t=950801 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=941
9172 [DBG_HP_SAMPLE] t=950901 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=841
9273 [DBG_HP_SAMPLE] t=951001 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=741
9372 [DBG_HP_SAMPLE] t=951101 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=641
9472 [DBG_HP_SAMPLE] t=951201 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=541
9573 [DBG_HP_SAMPLE] t=951301 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=441
9672 [DBG_HP_SAMPLE] t=951401 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=341
9773 [DBG_HP_SAMPLE] t=951501 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=241
9872 [DBG_HP_SAMPLE] t=951601 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=141
9972 [DBG_HP_SAMPLE] t=951701 hpOutPin=0 hpOutAsserted=1 camState=1 logicActive=1 activityActive=0 msUntilWakeDeadline=41
10013 [DBG_PIN] t=951742 sig=FP_OUT state=INACTIVE reason=endActivity durMs=5999 camState=1 hpOutAsserted=1
10015 [DBG_PIN] t=951742 sig=HP_OUT state=INACTIVE reason=releaseHpOut durMs=10000 camState=1 hpOutAsserted=0
10017 [DBG_IO] t=951742 stage=configureRuntimeIo.enter deviceType=1 camEnabled=1 camState=0 logicActive=0 activityActive=0 hpOutAsserted=0 hpOutPin=1 fpOutPin=1
10020 [DBG_IO] t=951743 stage=configureRuntimeIo.outputsInput deviceType=1 camEnabled=1 camState=0 logicActive=0 activityActive=0 hpOutAsserted=0 hpOutPin=1 fpOutPin=1
10023 [DBG_IO] t=951744 stage=configureRuntimeIo.cameraStateMachine deviceType=1 camEnabled=1 camState=0 logicActive=0 activityActive=0 hpOutAsserted=0 hpOutPin=1 fpOutPin=1
10860 [DBG_HP_SAMPLE] t=952588 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
10959 [DBG_HP_SAMPLE] t=952688 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11059 [DBG_HP_SAMPLE] t=952788 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11160 [DBG_HP_SAMPLE] t=952888 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11259 [DBG_HP_SAMPLE] t=952988 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11360 [DBG_HP_SAMPLE] t=953088 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11459 [DBG_HP_SAMPLE] t=953188 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11559 [DBG_HP_SAMPLE] t=953288 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11659 [DBG_HP_SAMPLE] t=953388 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11759 [DBG_HP_SAMPLE] t=953488 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11860 [DBG_HP_SAMPLE] t=953588 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
11959 [DBG_HP_SAMPLE] t=953688 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12059 [DBG_HP_SAMPLE] t=953788 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12159 [DBG_HP_SAMPLE] t=953888 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12259 [DBG_HP_SAMPLE] t=953988 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12360 [DBG_HP_SAMPLE] t=954088 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12459 [DBG_HP_SAMPLE] t=954188 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12559 [DBG_HP_SAMPLE] t=954288 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12659 [DBG_HP_SAMPLE] t=954388 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12759 [DBG_HP_SAMPLE] t=954488 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12859 [DBG_HP_SAMPLE] t=954588 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
12959 [DBG_HP_SAMPLE] t=954688 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
13059 [DBG_HP_SAMPLE] t=954788 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
13159 [DBG_HP_SAMPLE] t=954888 hpOutPin=1 hpOutAsserted=0 camState=0 logicActive=0 activityActive=0 msUntilWakeDeadline=0
